"","Year","Period","State","Data Item","Value"
"62",2004,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",65000
"63",2004,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",43
"64",2005,"YEAR","NEW YORK","ACRES HARVESTED",1500
"65",2005,"YEAR","NEW YORK","ACRES PLANTED",1700
"66",2005,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",155
"67",2005,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",8060000
"68",2005,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",52000
"69",2005,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",155
"70",2005,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",8060000
"71",2005,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",52000
"72",2005,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",35
"73",2006,"YEAR","NEW YORK","ACRES HARVESTED",1500
"74",2006,"YEAR","NEW YORK","ACRES PLANTED",1700
"75",2006,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",170
"76",2006,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7480000
"77",2006,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",44000
"78",2006,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",170
"79",2006,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7480000
"80",2006,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",44000
"81",2006,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",29
"82",2007,"YEAR","NEW YORK","ACRES HARVESTED",1400
"83",2007,"YEAR","NEW YORK","ACRES PLANTED",1600
"84",2007,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",165
"85",2007,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7590000
"86",2007,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",46000
"87",2007,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",165
"88",2007,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7590000
"89",2007,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",46000
"90",2007,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",33
"91",2008,"YEAR","NEW YORK","ACRES HARVESTED",1400
"92",2008,"YEAR","NEW YORK","ACRES PLANTED",1600
"93",2008,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",165
"94",2008,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7425000
"95",2008,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",45000
"96",2008,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",165
"97",2008,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7425000
"98",2008,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",45000
"99",2008,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",32
"100",2009,"YEAR","NEW YORK","ACRES HARVESTED",1400
"101",2009,"YEAR","NEW YORK","ACRES PLANTED",1600
"102",2009,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",205
"103",2009,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",9020000
"104",2009,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",44000
"105",2009,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",205
"106",2009,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",9020000
"107",2009,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",44000
"108",2009,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",31
"109",2010,"YEAR","NEW YORK","ACRES HARVESTED",1400
"110",2010,"YEAR","NEW YORK","ACRES PLANTED",1600
"111",2010,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",197
"112",2010,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",6895000
"113",2010,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",35000
"114",2010,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",197
"115",2010,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",6895000
"116",2010,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",35000
"117",2010,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",25
"118",2011,"YEAR","NEW YORK","ACRES HARVESTED",1400
"119",2011,"YEAR","NEW YORK","ACRES PLANTED",1600
"120",2011,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",235
"121",2011,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",8460000
"122",2011,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",36000
"123",2011,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",235
"124",2011,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",8460000
"125",2011,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",36000
"126",2011,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",26
"127",2012,"YEAR","NEW YORK","ACRES HARVESTED",1400
"128",2012,"YEAR","NEW YORK","ACRES PLANTED",1600
"129",2012,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",215
"130",2012,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",6880000
"131",2012,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",32000
"132",2012,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",215
"133",2012,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",6880000
"134",2012,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",32000
"135",2012,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",23
"136",2013,"YEAR","NEW YORK","ACRES HARVESTED",1400
"137",2013,"YEAR","NEW YORK","ACRES PLANTED",1600
"138",2013,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",203
"139",2013,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7729000
"140",2013,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",38000
"141",2013,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",203
"142",2013,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7729000
"143",2013,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",38000
"144",2013,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",27
"145",2014,"YEAR","NEW YORK","ACRES HARVESTED",1000
"146",2014,"YEAR","NEW YORK","ACRES PLANTED",1200
"147",2014,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",235
"148",2014,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7520000
"149",2014,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",32000
"150",2014,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",235
"151",2014,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7520000
"152",2014,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",32000
"153",2014,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",32
"154",2015,"YEAR","NEW YORK","ACRES HARVESTED",800
"155",2015,"YEAR","NEW YORK","ACRES PLANTED",960
"156",2015,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",254
"157",2015,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",7366000
"158",2015,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN CWT",29000
"159",2015,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",254
"160",2015,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",7366000
"161",2015,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",29000
"162",2015,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",36
"163",2016,"YEAR","NEW YORK","ACRES HARVESTED",1260
"164",2016,"YEAR","NEW YORK","ACRES PLANTED",1400
"165",2016,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",235
"166",2016,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",11844000
"167",2016,"YEAR","NEW YORK","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",50400
"168",2016,"YEAR","NEW YORK","NOT SOLD - PRODUCTION, MEASURED IN CWT",0
"169",2016,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",235
"170",2016,"YEAR","NEW YORK","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",0
"171",2016,"YEAR","NEW YORK","PROCESSING - PRODUCTION, MEASURED IN $",0
"172",2016,"YEAR","NEW YORK","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",0
"173",2016,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",11844000
"174",2016,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",50400
"175",2016,"YEAR","NEW YORK","UTILIZED - PRODUCTION, MEASURED IN CWT",50400
"176",2016,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",40
"177",2017,"YEAR","NEW YORK","ACRES HARVESTED",1200
"178",2017,"YEAR","NEW YORK","ACRES PLANTED",1300
"179",2017,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"180",2017,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",NA
"181",2017,"YEAR","NEW YORK","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"182",2017,"YEAR","NEW YORK","NOT SOLD - PRODUCTION, MEASURED IN CWT",1300
"183",2017,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",229
"184",2017,"YEAR","NEW YORK","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"185",2017,"YEAR","NEW YORK","PROCESSING - PRICE RECEIVED, MEASURED IN $ / TON",NA
"186",2017,"YEAR","NEW YORK","PROCESSING - PRODUCTION, MEASURED IN $",NA
"187",2017,"YEAR","NEW YORK","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"188",2017,"YEAR","NEW YORK","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN TONS",NA
"189",2017,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",10415000
"190",2017,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",46800
"191",2017,"YEAR","NEW YORK","UTILIZED - PRODUCTION, MEASURED IN CWT",45500
"192",2017,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",39
"193",2018,"YEAR","NEW YORK","ACRES HARVESTED",700
"194",2018,"YEAR","NEW YORK","ACRES PLANTED",800
"195",2018,"YEAR","NEW YORK","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"196",2018,"YEAR","NEW YORK","FRESH MARKET - PRODUCTION, MEASURED IN $",NA
"197",2018,"YEAR","NEW YORK","FRESH MARKET, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"198",2018,"YEAR","NEW YORK","NOT SOLD - PRODUCTION, MEASURED IN CWT",200
"199",2018,"YEAR","NEW YORK","PRICE RECEIVED, MEASURED IN $ / CWT",204
"200",2018,"YEAR","NEW YORK","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",NA
"201",2018,"YEAR","NEW YORK","PROCESSING - PRODUCTION, MEASURED IN $",NA
"202",2018,"YEAR","NEW YORK","PROCESSING, UTILIZED - PRODUCTION, MEASURED IN CWT",NA
"203",2018,"YEAR","NEW YORK","PRODUCTION, MEASURED IN $",6065000
"204",2018,"YEAR","NEW YORK","PRODUCTION, MEASURED IN CWT",30000
"205",2018,"YEAR","NEW YORK","UTILIZED - PRODUCTION, MEASURED IN CWT",29800
"206",2018,"YEAR","NEW YORK","YIELD, MEASURED IN CWT / ACRE",44
"207",1998,"YEAR","OREGON","ACRES HARVESTED",4400
"208",1998,"YEAR","OREGON","ACRES PLANTED",4500
"209",1998,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",70
"210",1998,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",1820000
"211",1998,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",26000
"212",1998,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",51
"213",1998,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",50
"214",1998,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",2.4e+07
"215",1998,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",480000
"216",1998,"YEAR","OREGON","PRODUCTION, MEASURED IN $",25820000
"217",1998,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",506000
"218",1998,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",115
"219",1999,"YEAR","OREGON","ACRES HARVESTED",4200
"220",1999,"YEAR","OREGON","ACRES PLANTED",4300
"221",1999,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",86
"222",1999,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",1462000
"223",1999,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",17000
"224",1999,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",51.5
"225",1999,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",50
"226",1999,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",19950000
"227",1999,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",399000
"228",1999,"YEAR","OREGON","PRODUCTION, MEASURED IN $",21412000
"229",1999,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",416000
"230",1999,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",99
"231",2000,"YEAR","OREGON","ACRES HARVESTED",3500
"232",2000,"YEAR","OREGON","ACRES PLANTED",4100
"233",2000,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",97
"234",2000,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",1746000
"235",2000,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",18000
"236",2000,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",49.5
"237",2000,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",47
"238",2000,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",15745000
"239",2000,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",335000
"240",2000,"YEAR","OREGON","PRODUCTION, MEASURED IN $",17491000
"241",2000,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",353000
"242",2000,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",100
"243",2001,"YEAR","OREGON","ACRES HARVESTED",3100
"244",2001,"YEAR","OREGON","ACRES PLANTED",3800
"245",2001,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",102
"246",2001,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",2244000
"247",2001,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",22000
"248",2001,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",37.7
"249",2001,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",34
"250",2001,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",12920000
"251",2001,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",380000
"252",2001,"YEAR","OREGON","PRODUCTION, MEASURED IN $",15164000
"253",2001,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",402000
"254",2001,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",130
"255",2002,"YEAR","OREGON","ACRES HARVESTED",3000
"256",2002,"YEAR","OREGON","ACRES PLANTED",3500
"257",2002,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",106
"258",2002,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",2438000
"259",2002,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",23000
"260",2002,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",49.2
"261",2002,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",45
"262",2002,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",14175000
"263",2002,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",315000
"264",2002,"YEAR","OREGON","PRODUCTION, MEASURED IN $",16613000
"265",2002,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",338000
"266",2002,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",115
"267",2003,"YEAR","OREGON","ACRES HARVESTED",2600
"268",2003,"YEAR","OREGON","ACRES PLANTED",3000
"269",2003,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",115
"270",2003,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",2300000
"271",2003,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",20000
"272",2003,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",49.7
"273",2003,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",45
"274",2003,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",12375000
"275",2003,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",275000
"276",2003,"YEAR","OREGON","PRODUCTION, MEASURED IN $",14675000
"277",2003,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",295000
"278",2003,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",115
"279",2004,"YEAR","OREGON","ACRES HARVESTED",2400
"280",2004,"YEAR","OREGON","ACRES PLANTED",2800
"281",2004,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",124
"282",2004,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",3596000
"283",2004,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",29000
"284",2004,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",48.9
"285",2004,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",41.5
"286",2004,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",12243000
"287",2004,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",295000
"288",2004,"YEAR","OREGON","PRODUCTION, MEASURED IN $",15839000
"289",2004,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",324000
"290",2004,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",135
"291",2005,"YEAR","OREGON","ACRES HARVESTED",2200
"292",2005,"YEAR","OREGON","ACRES PLANTED",2600
"293",2005,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",118
"294",2005,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",2832000
"295",2005,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",24000
"296",2005,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",54.7
"297",2005,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",48
"298",2005,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",10848000
"299",2005,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",226000
"300",2005,"YEAR","OREGON","PRODUCTION, MEASURED IN $",13680000
"301",2005,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",250000
"302",2005,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",115
"303",2006,"YEAR","OREGON","ACRES HARVESTED",2100
"304",2006,"YEAR","OREGON","ACRES PLANTED",2400
"305",2006,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",134
"306",2006,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",4824000
"307",2006,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",36000
"308",2006,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",69.1
"309",2006,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",57
"310",2006,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN $",11058000
"311",2006,"YEAR","OREGON","PROCESSING - PRODUCTION, MEASURED IN CWT",194000
"312",2006,"YEAR","OREGON","PRODUCTION, MEASURED IN $",15882000
"313",2006,"YEAR","OREGON","PRODUCTION, MEASURED IN CWT",230000
"314",2006,"YEAR","OREGON","YIELD, MEASURED IN CWT / ACRE",110
"315",2007,"YEAR","OREGON","ACRES HARVESTED",1900
"316",2007,"YEAR","OREGON","ACRES PLANTED",2200
"317",2007,"YEAR","OREGON","FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / CWT",134
"318",2007,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN $",3618000
"319",2007,"YEAR","OREGON","FRESH MARKET - PRODUCTION, MEASURED IN CWT",27000
"320",2007,"YEAR","OREGON","PRICE RECEIVED, MEASURED IN $ / CWT",66.3
"321",2007,"YEAR","OREGON","PROCESSING - PRICE RECEIVED, MEASURED IN $ / CWT",58
