"","Year","State","Data.Item","Value","CV...."
"26",2021,"NEW YORK","SALES, MEASURED IN $",633111,44.5
"27",2021,"NEW YORK","SALES, MEASURED IN CWT",1755,32.6
"28",2021,"NEW YORK","FRESH MARKET - OPERATIONS WITH SALES",43,25.3
"29",2021,"NEW YORK","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"30",2021,"NEW YORK","FRESH MARKET - SALES, MEASURED IN CWT",NA,NA
"31",2021,"NEW YORK","PROCESSING - OPERATIONS WITH SALES",2,94.9
"32",2021,"NEW YORK","PROCESSING - SALES, MEASURED IN $",NA,NA
"33",2021,"NEW YORK","PROCESSING - SALES, MEASURED IN CWT",NA,NA
"34",2021,"NORTH CAROLINA","ACRES HARVESTED",6,76.7
"35",2021,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",4,68.3
"36",2021,"NORTH CAROLINA","OPERATIONS WITH SALES",4,68.3
"37",2021,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",734,89.2
"38",2021,"NORTH CAROLINA","SALES, MEASURED IN $",190000,NA
"39",2021,"NORTH CAROLINA","SALES, MEASURED IN CWT",734,89.2
"40",2021,"NORTH CAROLINA","FRESH MARKET - OPERATIONS WITH SALES",4,68.3
"41",2021,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN $",190000,NA
"42",2021,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN CWT",734,89.2
"43",2021,"OREGON","ACRES HARVESTED",27,NA
"44",2021,"OREGON","OPERATIONS WITH AREA HARVESTED",26,54.2
"45",2021,"OREGON","OPERATIONS WITH SALES",26,54.2
"46",2021,"OREGON","PRODUCTION, MEASURED IN CWT",1362,84.2
"47",2021,"OREGON","SALES, MEASURED IN $",895054,NA
"48",2021,"OREGON","SALES, MEASURED IN CWT",1362,84.2
"49",2021,"OREGON","FRESH MARKET - OPERATIONS WITH SALES",26,54.2
"50",2021,"OREGON","FRESH MARKET - SALES, MEASURED IN $",895054,NA
"51",2021,"OREGON","FRESH MARKET - SALES, MEASURED IN CWT",1362,84.2
"52",2021,"WASHINGTON","ACRES HARVESTED",40,41.1
"53",2021,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",49,25.1
"54",2021,"WASHINGTON","OPERATIONS WITH SALES",49,25.1
"55",2021,"WASHINGTON","PRODUCTION, MEASURED IN CWT",1579,53.4
"56",2021,"WASHINGTON","SALES, MEASURED IN $",870017,54
"57",2021,"WASHINGTON","SALES, MEASURED IN CWT",1579,53.4
"58",2021,"WASHINGTON","FRESH MARKET - OPERATIONS WITH SALES",49,25.1
"59",2021,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN $",863231,53.8
"60",2021,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN CWT",1499,54
"61",2021,"WASHINGTON","PROCESSING - OPERATIONS WITH SALES",4,73
"62",2021,"WASHINGTON","PROCESSING - SALES, MEASURED IN $",6786,93.9
"63",2021,"WASHINGTON","PROCESSING - SALES, MEASURED IN CWT",80,82.3
"64",2019,"CALIFORNIA","ACRES HARVESTED",4022,28.7
"65",2019,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",174,8
"66",2019,"CALIFORNIA","OPERATIONS WITH SALES",174,8
"67",2019,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",1384735,30.4
"68",2019,"CALIFORNIA","SALES, MEASURED IN $",300277717,33.1
"69",2019,"CALIFORNIA","SALES, MEASURED IN CWT",1384016,30.4
"70",2019,"CALIFORNIA","FRESH MARKET - OPERATIONS WITH SALES",170,8
"71",2019,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN $",275716713,35.5
"72",2019,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN CWT",1177214,33.7
"73",2019,"CALIFORNIA","PROCESSING - OPERATIONS WITH SALES",15,39.7
"74",2019,"CALIFORNIA","PROCESSING - SALES, MEASURED IN $",24561004,68.3
"75",2019,"CALIFORNIA","PROCESSING - SALES, MEASURED IN CWT",206802,49.3
"76",2019,"FLORIDA","ACRES HARVESTED",680,79
"77",2019,"FLORIDA","OPERATIONS WITH AREA HARVESTED",14,30.4
"78",2019,"FLORIDA","OPERATIONS WITH SALES",14,30.4
"79",2019,"FLORIDA","PRODUCTION, MEASURED IN CWT",59905,76.3
"80",2019,"FLORIDA","SALES, MEASURED IN $",15055709,83.4
"81",2019,"FLORIDA","SALES, MEASURED IN CWT",59905,76.3
"82",2019,"FLORIDA","FRESH MARKET - OPERATIONS WITH SALES",14,30.4
"83",2019,"FLORIDA","FRESH MARKET - SALES, MEASURED IN $",15055709,83.4
"84",2019,"FLORIDA","FRESH MARKET - SALES, MEASURED IN CWT",59905,76.3
"85",2019,"NEW YORK","ACRES HARVESTED",41,40.9
"86",2019,"NEW YORK","OPERATIONS WITH AREA HARVESTED",36,27.3
"87",2019,"NEW YORK","OPERATIONS WITH SALES",36,27.3
"88",2019,"NEW YORK","PRODUCTION, MEASURED IN CWT",2260,32.6
"89",2019,"NEW YORK","SALES, MEASURED IN $",644155,42.2
"90",2019,"NEW YORK","SALES, MEASURED IN CWT",2260,32.6
"91",2019,"NEW YORK","FRESH MARKET - OPERATIONS WITH SALES",34,28.7
"92",2019,"NEW YORK","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"93",2019,"NEW YORK","FRESH MARKET - SALES, MEASURED IN CWT",NA,NA
"94",2019,"NEW YORK","PROCESSING - OPERATIONS WITH SALES",2,95
"95",2019,"NEW YORK","PROCESSING - SALES, MEASURED IN $",NA,NA
"96",2019,"NEW YORK","PROCESSING - SALES, MEASURED IN CWT",NA,NA
"97",2019,"NORTH CAROLINA","ACRES HARVESTED",4,94.6
"98",2019,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",7,43.9
"99",2019,"NORTH CAROLINA","OPERATIONS WITH SALES",7,43.9
"100",2019,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",300,94.1
"101",2019,"NORTH CAROLINA","SALES, MEASURED IN $",87402,75.2
"102",2019,"NORTH CAROLINA","SALES, MEASURED IN CWT",300,94.1
"103",2019,"NORTH CAROLINA","FRESH MARKET - OPERATIONS WITH SALES",7,43.9
"104",2019,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN $",87402,75.2
"105",2019,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN CWT",300,94.1
"106",2019,"OREGON","ACRES HARVESTED",197,NA
"107",2019,"OREGON","OPERATIONS WITH AREA HARVESTED",21,42.5
"108",2019,"OREGON","OPERATIONS WITH SALES",21,42.5
"109",2019,"OREGON","PRODUCTION, MEASURED IN CWT",5081,NA
"110",2019,"OREGON","SALES, MEASURED IN $",1728809,NA
"111",2019,"OREGON","SALES, MEASURED IN CWT",5081,NA
"112",2019,"OREGON","FRESH MARKET - OPERATIONS WITH SALES",19,39.8
"113",2019,"OREGON","FRESH MARKET - SALES, MEASURED IN $",505658,59.6
"114",2019,"OREGON","FRESH MARKET - SALES, MEASURED IN CWT",1004,38.9
"115",2019,"OREGON","PROCESSING - OPERATIONS WITH SALES",3,NA
"116",2019,"OREGON","PROCESSING - SALES, MEASURED IN $",1223151,NA
"117",2019,"OREGON","PROCESSING - SALES, MEASURED IN CWT",4077,NA
"118",2019,"WASHINGTON","ACRES HARVESTED",55,58.3
"119",2019,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",57,40.1
"120",2019,"WASHINGTON","OPERATIONS WITH SALES",57,40.1
"121",2019,"WASHINGTON","PRODUCTION, MEASURED IN CWT",2428,78.4
"122",2019,"WASHINGTON","SALES, MEASURED IN $",745009,67.2
"123",2019,"WASHINGTON","SALES, MEASURED IN CWT",2428,78.4
"124",2019,"WASHINGTON","FRESH MARKET - OPERATIONS WITH SALES",53,40.5
"125",2019,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"126",2019,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN CWT",2404,79.4
"127",2019,"WASHINGTON","PROCESSING - OPERATIONS WITH SALES",6,89.2
"128",2019,"WASHINGTON","PROCESSING - SALES, MEASURED IN $",NA,NA
"129",2019,"WASHINGTON","PROCESSING - SALES, MEASURED IN CWT",23,80.9
"130",2016,"CALIFORNIA","ACRES HARVESTED",5483,10.6
"131",2016,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",189,4.7
"132",2016,"CALIFORNIA","OPERATIONS WITH SALES",189,4.7
"133",2016,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",1448881,13.5
"134",2016,"CALIFORNIA","SALES, MEASURED IN $",231304956,13.7
"135",2016,"CALIFORNIA","SALES, MEASURED IN CWT",1446458,13.5
"136",2016,"CALIFORNIA","FRESH MARKET - OPERATIONS WITH SALES",184,4.9
"137",2016,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN $",211553703,13.5
"138",2016,"CALIFORNIA","FRESH MARKET - SALES, MEASURED IN CWT",1221571,12.9
"139",2016,"CALIFORNIA","PROCESSING - OPERATIONS WITH SALES",48,4.4
"140",2016,"CALIFORNIA","PROCESSING - SALES, MEASURED IN $",19751253,19.7
"141",2016,"CALIFORNIA","PROCESSING - SALES, MEASURED IN CWT",224886,21
"142",2016,"FLORIDA","ACRES HARVESTED",229,21.6
"143",2016,"FLORIDA","OPERATIONS WITH AREA HARVESTED",9,13
"144",2016,"FLORIDA","OPERATIONS WITH SALES",9,13
"145",2016,"FLORIDA","PRODUCTION, MEASURED IN CWT",14653,23
"146",2016,"FLORIDA","SALES, MEASURED IN $",2455805,21.9
"147",2016,"FLORIDA","SALES, MEASURED IN CWT",14532,23.1
"148",2016,"FLORIDA","FRESH MARKET - OPERATIONS WITH SALES",9,14
"149",2016,"FLORIDA","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"150",2016,"FLORIDA","FRESH MARKET - SALES, MEASURED IN CWT",NA,NA
"151",2016,"FLORIDA","PROCESSING - OPERATIONS WITH SALES",2,38.5
"152",2016,"FLORIDA","PROCESSING - SALES, MEASURED IN $",NA,NA
"153",2016,"FLORIDA","PROCESSING - SALES, MEASURED IN CWT",NA,NA
"154",2016,"NEW YORK","ACRES HARVESTED",31,14.3
"155",2016,"NEW YORK","OPERATIONS WITH AREA HARVESTED",32,11.9
"156",2016,"NEW YORK","OPERATIONS WITH SALES",32,11.9
"157",2016,"NEW YORK","PRODUCTION, MEASURED IN CWT",1012,19.6
"158",2016,"NEW YORK","SALES, MEASURED IN $",459144,22.7
"159",2016,"NEW YORK","SALES, MEASURED IN CWT",1012,19.6
"160",2016,"NEW YORK","FRESH MARKET - OPERATIONS WITH SALES",32,11.9
"161",2016,"NEW YORK","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"162",2016,"NEW YORK","FRESH MARKET - SALES, MEASURED IN CWT",NA,NA
"163",2016,"NEW YORK","PROCESSING - OPERATIONS WITH SALES",1,NA
"164",2016,"NEW YORK","PROCESSING - SALES, MEASURED IN $",NA,NA
"165",2016,"NEW YORK","PROCESSING - SALES, MEASURED IN CWT",NA,NA
"166",2016,"NORTH CAROLINA","ACRES HARVESTED",12,18.4
"167",2016,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",10,13.6
"168",2016,"NORTH CAROLINA","OPERATIONS WITH SALES",10,13.6
"169",2016,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",1308,25
"170",2016,"NORTH CAROLINA","SALES, MEASURED IN $",358487,23.1
"171",2016,"NORTH CAROLINA","SALES, MEASURED IN CWT",1308,25
"172",2016,"NORTH CAROLINA","FRESH MARKET - OPERATIONS WITH SALES",10,13.6
"173",2016,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN $",358487,23.2
"174",2016,"NORTH CAROLINA","FRESH MARKET - SALES, MEASURED IN CWT",1308,25.1
"175",2016,"OREGON","ACRES HARVESTED",169,26.6
"176",2016,"OREGON","OPERATIONS WITH AREA HARVESTED",25,9.2
"177",2016,"OREGON","OPERATIONS WITH SALES",25,9.2
"178",2016,"OREGON","PRODUCTION, MEASURED IN CWT",5832,24.7
"179",2016,"OREGON","SALES, MEASURED IN $",1752592,25.4
"180",2016,"OREGON","SALES, MEASURED IN CWT",5832,24.7
"181",2016,"OREGON","FRESH MARKET - OPERATIONS WITH SALES",23,9
"182",2016,"OREGON","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"183",2016,"OREGON","FRESH MARKET - SALES, MEASURED IN CWT",1980,12.2
"184",2016,"OREGON","PROCESSING - OPERATIONS WITH SALES",6,33.5
"185",2016,"OREGON","PROCESSING - SALES, MEASURED IN $",NA,NA
"186",2016,"OREGON","PROCESSING - SALES, MEASURED IN CWT",3852,39.3
"187",2016,"WASHINGTON","ACRES HARVESTED",138,17.8
"188",2016,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",52,5.3
"189",2016,"WASHINGTON","OPERATIONS WITH SALES",52,5.3
"190",2016,"WASHINGTON","PRODUCTION, MEASURED IN CWT",10718,23.4
"191",2016,"WASHINGTON","SALES, MEASURED IN $",2917197,22.3
"192",2016,"WASHINGTON","SALES, MEASURED IN CWT",10718,23.4
"193",2016,"WASHINGTON","FRESH MARKET - OPERATIONS WITH SALES",52,5.3
"194",2016,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN $",NA,NA
"195",2016,"WASHINGTON","FRESH MARKET - SALES, MEASURED IN CWT",10383,24.2
"196",2016,"WASHINGTON","PROCESSING - OPERATIONS WITH SALES",6,21.2
"197",2016,"WASHINGTON","PROCESSING - SALES, MEASURED IN $",NA,NA
"198",2016,"WASHINGTON","PROCESSING - SALES, MEASURED IN CWT",335,49.5
"199",2015,"CALIFORNIA","ACRES HARVESTED",3461,33.6
"200",2015,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",175,9.2
"201",2015,"CALIFORNIA","OPERATIONS WITH SALES",175,9.2
"202",2015,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",869021,41.7
"203",2015,"CALIFORNIA","SALES, MEASURED IN $",144304480,52
"204",2015,"CALIFORNIA","SALES, MEASURED IN CWT",738062,47
"205",2015,"FLORIDA","ACRES HARVESTED",182,67.2
"206",2015,"FLORIDA","OPERATIONS WITH AREA HARVESTED",11,45.5
"207",2015,"FLORIDA","OPERATIONS WITH SALES",11,45.5
"208",2015,"FLORIDA","PRODUCTION, MEASURED IN CWT",9074,72.3
"209",2015,"FLORIDA","SALES, MEASURED IN $",NA,NA
"210",2015,"FLORIDA","SALES, MEASURED IN CWT",8842,73.6
"211",2015,"NEW YORK","ACRES HARVESTED",40,42.1
"212",2015,"NEW YORK","OPERATIONS WITH AREA HARVESTED",21,36.6
"213",2015,"NEW YORK","OPERATIONS WITH SALES",21,36.6
"214",2015,"NEW YORK","PRODUCTION, MEASURED IN CWT",2762,42.5
"215",2015,"NEW YORK","SALES, MEASURED IN $",222146,49.2
"216",2015,"NEW YORK","SALES, MEASURED IN CWT",1871,50.1
"217",2015,"NORTH CAROLINA","ACRES HARVESTED",18,44.7
"218",2015,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",11,25.2
"219",2015,"NORTH CAROLINA","OPERATIONS WITH SALES",11,25.2
"220",2015,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",2366,57.5
"221",2015,"NORTH CAROLINA","SALES, MEASURED IN $",728216,60.3
"222",2015,"NORTH CAROLINA","SALES, MEASURED IN CWT",2355,59.9
"223",2015,"OREGON","ACRES HARVESTED",30,NA
"224",2015,"OREGON","OPERATIONS WITH AREA HARVESTED",22,63.1
"225",2015,"OREGON","OPERATIONS WITH SALES",22,63.1
"226",2015,"OREGON","PRODUCTION, MEASURED IN CWT",2136,87.7
"227",2015,"OREGON","SALES, MEASURED IN $",714604,70.5
"228",2015,"OREGON","SALES, MEASURED IN CWT",1755,75.8
"229",2015,"WASHINGTON","ACRES HARVESTED",67,82.5
"230",2015,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",42,35
"231",2015,"WASHINGTON","OPERATIONS WITH SALES",42,35
"232",2015,"WASHINGTON","PRODUCTION, MEASURED IN CWT",2697,82.9
"233",2015,"WASHINGTON","SALES, MEASURED IN $",609592,NA
"234",2015,"WASHINGTON","SALES, MEASURED IN CWT",2627,84
"235",2014,"CALIFORNIA","ACRES HARVESTED",2531,44.8
"236",2014,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",139,15.9
"237",2014,"CALIFORNIA","OPERATIONS WITH SALES",139,15.9
"238",2014,"CALIFORNIA","OPERATIONS WITH SALES IN CONVENTIONAL MARKETS",6,51.5
"239",2014,"CALIFORNIA","OPERATIONS WITH SALES IN ORGANIC MARKETS",139,15.9
"240",2014,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",537572,31.2
"241",2014,"CALIFORNIA","SALES IN CONVENTIONAL MARKETS, MEASURED IN $",1560,65.9
"242",2014,"CALIFORNIA","SALES IN CONVENTIONAL MARKETS, MEASURED IN CWT",16,63.8
"243",2014,"CALIFORNIA","SALES IN ORGANIC MARKETS, MEASURED IN $",82907889,27.7
"244",2014,"CALIFORNIA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",535552,31.3
"245",2014,"CALIFORNIA","SALES, MEASURED IN $",82909449,27.7
"246",2014,"CALIFORNIA","SALES, MEASURED IN CWT",535569,31.3
"247",2014,"FLORIDA","ACRES HARVESTED",NA,NA
"248",2014,"FLORIDA","OPERATIONS WITH AREA HARVESTED",12,21.4
"249",2014,"FLORIDA","OPERATIONS WITH SALES",12,21.4
"250",2014,"FLORIDA","OPERATIONS WITH SALES IN ORGANIC MARKETS",12,21.4
"251",2014,"FLORIDA","PRODUCTION, MEASURED IN CWT",NA,NA
"252",2014,"FLORIDA","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"253",2014,"FLORIDA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"254",2014,"FLORIDA","SALES, MEASURED IN $",NA,NA
"255",2014,"FLORIDA","SALES, MEASURED IN CWT",NA,NA
"256",2014,"NEW YORK","ACRES HARVESTED",38,41.9
"257",2014,"NEW YORK","OPERATIONS WITH AREA HARVESTED",30,39.3
"258",2014,"NEW YORK","OPERATIONS WITH SALES",30,39.3
"259",2014,"NEW YORK","OPERATIONS WITH SALES IN CONVENTIONAL MARKETS",1,NA
"260",2014,"NEW YORK","OPERATIONS WITH SALES IN ORGANIC MARKETS",30,39.3
"261",2014,"NEW YORK","PRODUCTION, MEASURED IN CWT",1679,41.9
"262",2014,"NEW YORK","SALES IN CONVENTIONAL MARKETS, MEASURED IN $",NA,NA
"263",2014,"NEW YORK","SALES IN CONVENTIONAL MARKETS, MEASURED IN CWT",NA,NA
"264",2014,"NEW YORK","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"265",2014,"NEW YORK","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"266",2014,"NEW YORK","SALES, MEASURED IN $",507256,43.8
"267",2014,"NEW YORK","SALES, MEASURED IN CWT",NA,NA
"268",2014,"NORTH CAROLINA","ACRES HARVESTED",NA,NA
"269",2014,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",17,37.1
"270",2014,"NORTH CAROLINA","OPERATIONS WITH SALES",16,40.1
"271",2014,"NORTH CAROLINA","OPERATIONS WITH SALES IN CONVENTIONAL MARKETS",1,NA
"272",2014,"NORTH CAROLINA","OPERATIONS WITH SALES IN ORGANIC MARKETS",15,42.8
"273",2014,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",NA,NA
"274",2014,"NORTH CAROLINA","SALES IN CONVENTIONAL MARKETS, MEASURED IN $",NA,NA
"275",2014,"NORTH CAROLINA","SALES IN CONVENTIONAL MARKETS, MEASURED IN CWT",NA,NA
"276",2014,"NORTH CAROLINA","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"277",2014,"NORTH CAROLINA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"278",2014,"NORTH CAROLINA","SALES, MEASURED IN $",NA,NA
"279",2014,"NORTH CAROLINA","SALES, MEASURED IN CWT",NA,NA
"280",2014,"OREGON","ACRES HARVESTED",NA,NA
"281",2014,"OREGON","OPERATIONS WITH AREA HARVESTED",24,36
"282",2014,"OREGON","OPERATIONS WITH SALES",24,36
"283",2014,"OREGON","OPERATIONS WITH SALES IN ORGANIC MARKETS",24,36
"284",2014,"OREGON","PRODUCTION, MEASURED IN CWT",NA,NA
"285",2014,"OREGON","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"286",2014,"OREGON","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"287",2014,"OREGON","SALES, MEASURED IN $",NA,NA
"288",2014,"OREGON","SALES, MEASURED IN CWT",NA,NA
"289",2014,"WASHINGTON","ACRES HARVESTED",62,44.9
"290",2014,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",45,28.9
"291",2014,"WASHINGTON","OPERATIONS WITH SALES",42,26.8
"292",2014,"WASHINGTON","OPERATIONS WITH SALES IN ORGANIC MARKETS",42,26.8
"293",2014,"WASHINGTON","PRODUCTION, MEASURED IN CWT",2817,47.5
"294",2014,"WASHINGTON","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"295",2014,"WASHINGTON","SALES IN ORGANIC MARKETS, MEASURED IN CWT",2796,48.1
"296",2014,"WASHINGTON","SALES, MEASURED IN $",NA,NA
"297",2014,"WASHINGTON","SALES, MEASURED IN CWT",2796,48.1
"298",2011,"CALIFORNIA","ACRES HARVESTED",1436,NA
"299",2011,"CALIFORNIA","OPERATIONS WITH AREA HARVESTED",95,NA
"300",2011,"CALIFORNIA","OPERATIONS WITH SALES",95,NA
"301",2011,"CALIFORNIA","OPERATIONS WITH SALES IN CONVENTIONAL MARKETS",1,NA
"302",2011,"CALIFORNIA","OPERATIONS WITH SALES IN ORGANIC MARKETS",95,NA
"303",2011,"CALIFORNIA","PRODUCTION, MEASURED IN CWT",367544,NA
"304",2011,"CALIFORNIA","SALES IN CONVENTIONAL MARKETS, MEASURED IN $",NA,NA
"305",2011,"CALIFORNIA","SALES IN CONVENTIONAL MARKETS, MEASURED IN CWT",NA,NA
"306",2011,"CALIFORNIA","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"307",2011,"CALIFORNIA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"308",2011,"CALIFORNIA","SALES, MEASURED IN $",63509695,NA
"309",2011,"CALIFORNIA","SALES, MEASURED IN CWT",366149,NA
"310",2011,"FLORIDA","ACRES HARVESTED",NA,NA
"311",2011,"FLORIDA","OPERATIONS WITH AREA HARVESTED",4,NA
"312",2011,"FLORIDA","OPERATIONS WITH SALES",4,NA
"313",2011,"FLORIDA","OPERATIONS WITH SALES IN ORGANIC MARKETS",4,NA
"314",2011,"FLORIDA","PRODUCTION, MEASURED IN CWT",352,NA
"315",2011,"FLORIDA","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"316",2011,"FLORIDA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",352,NA
"317",2011,"FLORIDA","SALES, MEASURED IN $",NA,NA
"318",2011,"FLORIDA","SALES, MEASURED IN CWT",352,NA
"319",2011,"NEW YORK","ACRES HARVESTED",27,NA
"320",2011,"NEW YORK","OPERATIONS WITH AREA HARVESTED",21,NA
"321",2011,"NEW YORK","OPERATIONS WITH SALES",20,NA
"322",2011,"NEW YORK","OPERATIONS WITH SALES IN CONVENTIONAL MARKETS",2,NA
"323",2011,"NEW YORK","OPERATIONS WITH SALES IN ORGANIC MARKETS",20,NA
"324",2011,"NEW YORK","PRODUCTION, MEASURED IN CWT",1346,NA
"325",2011,"NEW YORK","SALES IN CONVENTIONAL MARKETS, MEASURED IN $",NA,NA
"326",2011,"NEW YORK","SALES IN CONVENTIONAL MARKETS, MEASURED IN CWT",NA,NA
"327",2011,"NEW YORK","SALES IN ORGANIC MARKETS, MEASURED IN $",NA,NA
"328",2011,"NEW YORK","SALES IN ORGANIC MARKETS, MEASURED IN CWT",NA,NA
"329",2011,"NEW YORK","SALES, MEASURED IN $",332835,NA
"330",2011,"NEW YORK","SALES, MEASURED IN CWT",1282,NA
"331",2011,"NORTH CAROLINA","ACRES HARVESTED",4,NA
"332",2011,"NORTH CAROLINA","OPERATIONS WITH AREA HARVESTED",5,NA
"333",2011,"NORTH CAROLINA","OPERATIONS WITH SALES",5,NA
"334",2011,"NORTH CAROLINA","OPERATIONS WITH SALES IN ORGANIC MARKETS",5,NA
"335",2011,"NORTH CAROLINA","PRODUCTION, MEASURED IN CWT",339,NA
"336",2011,"NORTH CAROLINA","SALES IN ORGANIC MARKETS, MEASURED IN $",68682,NA
"337",2011,"NORTH CAROLINA","SALES IN ORGANIC MARKETS, MEASURED IN CWT",339,NA
"338",2011,"NORTH CAROLINA","SALES, MEASURED IN $",68682,NA
"339",2011,"NORTH CAROLINA","SALES, MEASURED IN CWT",339,NA
"340",2011,"OREGON","ACRES HARVESTED",12,NA
"341",2011,"OREGON","OPERATIONS WITH AREA HARVESTED",20,NA
"342",2011,"OREGON","OPERATIONS WITH SALES",20,NA
"343",2011,"OREGON","OPERATIONS WITH SALES IN ORGANIC MARKETS",20,NA
"344",2011,"OREGON","PRODUCTION, MEASURED IN CWT",867,NA
"345",2011,"OREGON","SALES IN ORGANIC MARKETS, MEASURED IN $",135899,NA
"346",2011,"OREGON","SALES IN ORGANIC MARKETS, MEASURED IN CWT",605,NA
"347",2011,"OREGON","SALES, MEASURED IN $",135899,NA
"348",2011,"OREGON","SALES, MEASURED IN CWT",605,NA
"349",2011,"WASHINGTON","ACRES HARVESTED",29,NA
"350",2011,"WASHINGTON","OPERATIONS WITH AREA HARVESTED",28,NA
"351",2011,"WASHINGTON","OPERATIONS WITH SALES",26,NA
